date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:32:40 +0000 2017',942719257233776000,39839542,b'Sophie Garrod',b'A very important and in some cases life giving proposal - let\xe2\x80\x99s make sure nobody has to die waiting for a transplan\xe2\x80\xa6 https://t.co/gYYoNBmjLp',"{'type': 'Point', 'coordinates': [-0.17772317, 51.50097703]}"
b'Mon Dec 18 11:32:40 +0000 2017',942719258613682000,625917374,b'DickBakerXXX',b'@kaidavisxxx Awesome see you at some point today handsome\xf0\x9f\x98\x98',"{'type': 'Point', 'coordinates': [-0.55777778, 51.33222222]}"
b'Mon Dec 18 11:32:41 +0000 2017',942719261834993000,50277896,b'Denephew \xe2\x9c\xa8',b'Same ones that attend shows and enjoy. It be your own ooo',"{'type': 'Point', 'coordinates': [-0.170135, 51.504791]}"
b'Mon Dec 18 11:32:42 +0000 2017',942719264427036000,923593701854732000,b'Big Bill Hell',"b'I used to have a ""favourite Tory"". It was Andrew Gilligan, the man who gave London its few safe, protected cycle ro\xe2\x80\xa6 https://t.co/U2jWpRkXaV'","{'type': 'Point', 'coordinates': [-0.00897467, 51.48160673]}"
b'Mon Dec 18 11:32:44 +0000 2017',942719272769421000,20694926,b'Locutus',b'@Cleon81 @Real_Big_Papa @AcidBurnTNA \xe2\x98\xb9\xef\xb8\x8f',"{'type': 'Point', 'coordinates': [1.557704, 52.602539]}"
b'Mon Dec 18 11:32:44 +0000 2017',942719275156033000,809788659432091000,b'\xd9\x86\xd8\xa7\xd8\xb5\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x87\xd9\x8a\xd9\x84',b'Today marks Qatar\xe2\x80\x99s national day.\nToday we celebrate the success of this Grateful nation.\nHappy National Day \xf0\x9f\x87\xb6\xf0\x9f\x87\xa6\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb6\xf0\x9f\x87\xa6 https://t.co/asc1d5awCl',"{'type': 'Point', 'coordinates': [-0.09047462, 51.51171791]}"
b'Mon Dec 18 11:32:45 +0000 2017',942719276993204000,303035523,b'adnaan siddiqi',b'@logical_sense_ @LBC @MaajidNawaz Fucking twat',"{'type': 'Point', 'coordinates': [-0.1271, 51.5063]}"
b'Mon Dec 18 11:32:46 +0000 2017',942719283053907000,219368965,"b""Denis O'Reilly""",b'@QoSBaszler Accurate',"{'type': 'Point', 'coordinates': [-0.08346383, 51.51488508]}"
b'Mon Dec 18 11:32:48 +0000 2017',942719291413102000,245450650,b'Morgan Rickman',b'This girl on the train just frantically asked me if knew anything about chemistry A level while doing a test paper.',"{'type': 'Point', 'coordinates': [-0.1271, 51.5063]}"
b'Mon Dec 18 11:32:49 +0000 2017',942719295817175000,217873189,b'Asha Tanna',b'@AJMajid freediving one year. Scuba twenty years. Yes well appearances are deceptive!',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:32:53 +0000 2017',942719310899961000,3401163586,b'Wondering Apple',b'Winterwonderland! #christmas #festive #london @ Winter Wonderland https://t.co/n8QBpJlQZI',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
