date,tweetid,userid,username,text,coordinates
b'Mon Dec 18 13:53:26 +0000 2017',9.42755E+17,7.19885E+17,b'Various Jams',"b""Poor guy is never going to have the last word coz Android Jimmy is set to 'always reply' https://t.co/6KsFgJcvMG""","{'type': 'Point', 'coordinates': [4.8155522, 52.4578824]}"
b'Mon Dec 18 13:53:55 +0000 2017',9.42755E+17,3370838825,b'Pretpark Amsterdam',b'#StemWijzer https://t.co/GadhISGtrA',"{'type': 'Point', 'coordinates': [4.947363, 52.4665421]}"
b'Mon Dec 18 13:54:07 +0000 2017',9.42755E+17,8.6149E+17,b'Romy Marylou Amber \xf0\x9f\x92\x96 Cristiano Ronaldo',b'I feel so tiiiired today .. Not normal OMG!',"{'type': 'Point', 'coordinates': [4.76334714, 52.41315]}"
b'Mon Dec 18 13:54:06 +0000 2017',9.42755E+17,28377532,b'Guto',b'eu mudava um pouco tb kkk https://t.co/pIWArk4CBA',"{'type': 'Point', 'coordinates': [4.8951679, 52.3702157]}"
b'Mon Dec 18 13:54:33 +0000 2017',9.42755E+17,8.6149E+17,b'Romy Marylou Amber \xf0\x9f\x92\x96 Cristiano Ronaldo',b'My father coming tomorrow instead of today',"{'type': 'Point', 'coordinates': [4.88785524, 52.35170009]}"
b'Mon Dec 18 13:54:53 +0000 2017',9.42755E+17,126307156,b'Stefan Slim',b'@mrchrisnewton @nomentmum @SKinnock Yes and UK reject that to become part of the United States of America and private healthcare etc etc',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:54:57 +0000 2017',9.42755E+17,1166383453,b'Trendinalia NL',"b'\xf0\x9f\x93\x88 ""Hesdy Gerges"" is trending today on Google Nederland (2000+ searches) https://t.co/A1REjY92aB'","{'type': 'Point', 'coordinates': [4.89287619, 52.37305134]}"
b'Mon Dec 18 13:54:58 +0000 2017',9.42755E+17,1166383453,b'Trendinalia NL',b'\xf0\x9f\x93\x88 Badr Hari maakt rentree tegen Hesdy Gerges https://t.co/reIP4Uft72',"{'type': 'Point', 'coordinates': [4.78003992, 52.38342363]}"
b'Mon Dec 18 13:55:21 +0000 2017',9.42755E+17,2893202927,b'Denise',b'@marijezuurveld \xf0\x9f\x99\x84',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 13:55:43 +0000 2017',9.42755E+17,46179169,b'VR-i.nl',b'https://t.co/yQKfnuJUVU',"{'type': 'Point', 'coordinates': [4.96939, 52.38682]}"
b'Mon Dec 18 13:56:14 +0000 2017',9.42755E+17,8.6149E+17,b'Romy Marylou Amber \xf0\x9f\x92\x96 Cristiano Ronaldo',b'Be right back or be back later x x x need another drink .. &amp; Maybe .. I will get some extra sleep after i had a dri\xe2\x80\xa6 https://t.co/DUfeeuQee1',"{'type': 'Point', 'coordinates': [4.8960991, 52.3560072]}"
b'Mon Dec 18 13:56:30 +0000 2017',9.42755E+17,46179169,b'VR-i.nl',b'Soon available. VR-i Wireless Charger! https://t.co/UA0pt8PveG https://t.co/tlh6TmI2L7',"{'type': 'Point', 'coordinates': [4.88104914, 52.35822653]}"
b'Mon Dec 18 13:56:37 +0000 2017',9.42755E+17,918984769,b'hans groot',b'Vier fokkers S-11. Beter plaatje lukte niet wegens totaal niet verwacht #fokker https://t.co/wipdhNWsBM',"{'type': 'Point', 'coordinates': [4.86324, 52.353]}"
b'Mon Dec 18 13:56:45 +0000 2017',9.42756E+17,126307156,b'Stefan Slim',b'@RTUKnews @BarackObama @RT_com fucking pathetic what questions will this fool ask that anybody will want to hear',"{'type': 'Point', 'coordinates': [4.88497699, 52.36001907]}"
b'Mon Dec 18 13:56:48 +0000 2017',9.42756E+17,3793007775,b'Natasja\xe2\x99\xa1',b'@BrooksBeau te quiero mi coraz\xc3\xb3n',"{'type': 'Point', 'coordinates': [4.76393985, 52.30908793]}"
b'Mon Dec 18 13:56:49 +0000 2017',9.42756E+17,124131177,b'Jorrit bolhuis',b'Amsterdam Light Festival 2017/2018 The garden of Schrodinger\xe2\x80\x99s cats #takeosugamata #japan\xe2\x80\xa6 https://t.co/oUxkbKUgtZ',"{'type': 'Point', 'coordinates': [4.94884, 52.4201]}"
b'Mon Dec 18 13:56:55 +0000 2017',9.42756E+17,7.19885E+17,b'Various Jams',"b""It's great when it says 'I am a robot'""","{'type': 'Point', 'coordinates': [4.83601182, 52.4489098]}"
