date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:39:34 +0000 2017',942720995848318000,5719322,b'RedGlow',b'@odernee Mi sembrava di averlo postato ma non lo trovo pi\xc3\xb9 :-(',"{'type': 'Point', 'coordinates': [10.4532399, 44.70673]}"
b'Mon Dec 18 11:39:53 +0000 2017',942721074541793000,2288643866,b'Francesco vota',"b'In vita ogni uno scrive la sua storia, rispetto per tutti, onore per chi lo guadagno con scelte coraggiose\xe2\x80\xa6 https://t.co/Ll8QP259MB'","{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:40:19 +0000 2017',942721181081358000,77031813,b'Lino #tuttotorna \xf0\x9f\x98\x92',b'@gegi92  https://t.co/UHzGerZr0R',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:40:30 +0000 2017',942721230355992000,2338978772,b'Manuspizza',b'Preparo a mio fratello un\xe2\x80\x99esercitazione in vista della verifica di spagnolo di domani. \n\xe2\x80\x9cGabri mentre la fai non co\xe2\x80\xa6 https://t.co/16kzIDzefA',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:41:41 +0000 2017',942721528449437000,4184628208,b'Chiara.',b'Che meraviglia. https://t.co/HDm8IXAz0o',"{'type': 'Point', 'coordinates': [11.34018489, 44.49273932]}"
b'Mon Dec 18 11:41:53 +0000 2017',942721576750977000,387043149,b'Silvia Nicolucci',b'@comis_william Dico da tempo che bisogna tonare indietro e che le donne imparino a cucinare.  Il panettone e pandor\xe2\x80\xa6 https://t.co/Ylhwhx8mcJ',"{'type': 'Point', 'coordinates': [11.14653442, 43.85520958]}"
b'Mon Dec 18 11:42:02 +0000 2017',942721614642319000,2288643866,b'Francesco vota',"b'In vita ogni uno scrive la sua storia, rispetto per tutti, onore solo per chi lo guadagn\xc3\xb2 con scelte coraggiose. Un\xe2\x80\xa6 https://t.co/TYY1Uy4Kg9'","{'type': 'Point', 'coordinates': [11.3823, 44.61975]}"
b'Mon Dec 18 11:42:15 +0000 2017',942721670774771000,488835291,b'Silvia Tassinari',"b'\xc3\x89 FINITA. Per sempre.\nCiao giurisprudenza, ci vediamo alla laurea!'","{'type': 'Point', 'coordinates': [10.92455728, 43.94043084]}"
b'Mon Dec 18 11:43:11 +0000 2017',942721903487307000,1580641260,b'C_SANTATRINITA',b'Carlo Pratichetti racconta il suo #Rugby #prato #lanazione #santatrinita #prato #nataleinbottega #decathlon',"{'type': 'Point', 'coordinates': [11.15082, 43.85579]}"
b'Mon Dec 18 11:43:16 +0000 2017',942721925889122000,719886098441355000,b'Adam Plese',b'Santa Croce Venezia #history #architecture #church #culture #church #italy #venice #italia #venezia\xe2\x80\xa6 https://t.co/wgSYgIvpjO',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:43:28 +0000 2017',942721975306289000,82092767,b'Animamigrante',"b'@SonoMaleducata @fremebonda Inutile fargli il verso, lui \xc3\xa8 inimitabile.'","{'type': 'Point', 'coordinates': [10.88584185, 44.78416527]}"
b'Mon Dec 18 11:43:28 +0000 2017',942721976908599000,418259535,"b""L'Undici""",b'#vittorioemanueleIII #vigliacchi https://t.co/X9Pl6p0MgZ',"{'type': 'Point', 'coordinates': [10.65397, 44.69133]}"
b'Mon Dec 18 11:43:58 +0000 2017',942722102557331000,1316910824,b'cristina',b'@Mirisan66 @RaiRadio2 @socialclu Grazie!!!! Sono in uff recuperer\xc3\xb2 tutto stasera #chesifaperammmmore @lorenzojova',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:46:14 +0000 2017',942722670411550000,927169644,b'Serenitudine',"b""Io quest'anno c'ho pensato comunque, volevo dire a Babbo Natale ed al 2018 di fare un po' come gli pare, tanto, qua\xe2\x80\xa6 https://t.co/7gFtqKFDPk""","{'type': 'Point', 'coordinates': [10.69027778, 44.43694444]}"
b'Mon Dec 18 11:46:15 +0000 2017',942722675683807000,23118728,b'simone zecca',b'@emilymarilyn I love your tits',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:46:40 +0000 2017',942722781732593000,446197074,b'Sandrofiori \xf0\x9f\x8c\xb7',b'@saria_mba Cuoppo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 che ne sanno a Bolzano \xf0\x9f\x98\x82\xf0\x9f\x98\x82',"{'type': 'Point', 'coordinates': [11.3425999, 44.50565]}"
b'Mon Dec 18 11:46:46 +0000 2017',942722803765338000,538302788,b'Cisl Emilia Romagna',"b'#Bologna Giovanna Ventura al Consiglio gen. Cisl ER:""Siamo un #sindacato serio che continua a ragionare, riflettere\xe2\x80\xa6 https://t.co/Hucxg1iXc8'","{'type': 'Point', 'coordinates': [12.26467382, 44.33634177]}"
b'Mon Dec 18 11:47:07 +0000 2017',942722894618157000,2646416695,b'denise \xc3\xa8 felice BF3\xf0\x9f\x90\x9e',b'- CONCERTI SOLD OUT\n - INSTORE PIENI DI PERSONE CHE POI ALLA FINE NON RIUSCIAMO A RAGGIUNGERE I PRIMI POSTI IN CLAS\xe2\x80\xa6 https://t.co/Veq2qPyYge',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:47:40 +0000 2017',942723031968993000,446197074,b'Sandrofiori \xf0\x9f\x8c\xb7',b'@graziani_ilaria Ges\xc3\xb9 e morto 2017 anni fa \xf0\x9f\x98\x80\xf0\x9f\x98\x80',"{'type': 'Point', 'coordinates': [11.34583, 44.4993]}"
b'Mon Dec 18 11:48:47 +0000 2017',942723312647573000,41288892,b'Marcelo Fi\xc3\xb3rio',b'@SandroSotigol Kkkkk por mim pode ganhar a LA e perder a final pro Real todo ano ;)',"{'type': 'Point', 'coordinates': [10.95435, 44.64476]}"
b'Mon Dec 18 11:49:23 +0000 2017',942723465525780000,23118728,b'simone zecca',b'@RubberDoll You my gift for me',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:49:31 +0000 2017',942723497335447000,38733002,b'laarni almazan',"b""It's sushi day!! \xf0\x9f\x8d\xa3 @ Sushiko https://t.co/9uPpxolL9H""","{'type': 'Point', 'coordinates': [11.35774001, 44.48795388]}"
b'Mon Dec 18 11:49:58 +0000 2017',942723612548714000,446197074,b'Sandrofiori \xf0\x9f\x8c\xb7',b'@LoredanaGulizia Telepatia erotica',"{'type': 'Point', 'coordinates': [12.19352603, 44.41897686]}"
b'Mon Dec 18 11:50:28 +0000 2017',942723737299881000,770978499599429000,b'Museo dei Botroidi',b'Un museo da visitare per vivere la Geologia #Bologna #appennino #18dicembre #2017 #Natale #feste #Cultura https://t.co/5xUVkTfdPa',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:50:49 +0000 2017',942723825455845000,884736450402693000,b'La BCC',b'Live Riccardo Cappelli Comitato Giovani Soci La #BCC ravennate forlivese e imolese #YoungCooperatorsDay2017\xe2\x80\xa6 https://t.co/KBMmZMG0dh',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:51:32 +0000 2017',942724004330209000,819159837586182000,b'Marilisa Bonzagni',b'@bvlackrose Ti giuro che mi hanno aiutato a ritrovare il sorriso e ..io non sono di primo pelo\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x90\xbc\xf0\x9f\x90\x92\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:51:49 +0000 2017',942724074853236000,58438506,b'Morgana Marco',b'\xe2\x80\x9cLa vita \xc3\xa8 troppo breve per mangiare e bere male\xe2\x80\x9d #fico #eatalyworld #bologna #ammuccamu @ FICO\xe2\x80\xa6 https://t.co/EqzEd0Ni7J',"{'type': 'Point', 'coordinates': [12.21889, 44.44704]}"
b'Mon Dec 18 11:53:16 +0000 2017',942724441712230000,64012004,b'PurpleFoxglove',"b""I'm at Dispensa Emilia in Modena, MO https://t.co/EigDvIobGE""","{'type': 'Point', 'coordinates': [11.9, 44.4167]}"
b'Mon Dec 18 11:53:23 +0000 2017',942724470564966000,1369943899,b'Victoria Bartels',b'Behind the scenes at the Bargello https://t.co/Vu0hMy7S1j',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:53:23 +0000 2017',942724472775331000,185239051,b'Melazeta',"b'Virtual Reality: The Next Generation Of Education, Learning and Training via @forbes https://t.co/BUqiLRZQtq #VR #Education #gamification'","{'type': 'Point', 'coordinates': [12.21889, 44.44704]}"
b'Mon Dec 18 11:54:36 +0000 2017',942724776677859000,59309965,b'\xf0\x9f\x92\x8eKhaleesi\xe3\x80\x82',"b'When there\xe2\x80\x99s darkness in your mind, no amount of money or success is going to help. Jonghyun had his reasons, let h\xe2\x80\xa6 https://t.co/q1atemQ7dT'","{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
