date,tweetid,userid,username,text
b'Mon Dec 18 08:43:43 +0000 2017',9.43E+17,1588969518,b'Becky McCormick',b'When your amazing friend @rochellebalboa gets you a @HamiltonMusical themed secret santa present! \xf0\x9f\x99\x8aThe music in the\xe2\x80\xa6 https://t.co/gITMIgqq7k'
b'Mon Dec 18 08:43:44 +0000 2017',9.43E+17,3258546885,b'Suzanne Ellis',b'@eddwilson Then make a joke about it when he introduced the weather. Yes making someone cry is such a laughing matter #r4today'
b'Mon Dec 18 08:43:49 +0000 2017',9.43E+17,935174749,b'Allen Pierce',b'Government DOWNFALL. Failing to stamp on the leasehold racket that has suddenly become the new RACKMAN SCAM will be\xe2\x80\xa6 https://t.co/cAXWoipUZo'
b'Mon Dec 18 08:43:52 +0000 2017',9.43E+17,14088074,"b""Toby D'Olier""","b'365 sledges @ Royal Botanic Gardens, Kew https://t.co/55dwDua6aL'"
b'Mon Dec 18 08:43:53 +0000 2017',9.43E+17,215691617,b'Matt Lowe',b'I think for the rest of time little drummer boy will make me want to dig out #WestWing In Excelsis Deo. Greatest series I\xe2\x80\x99ve seen.'
b'Mon Dec 18 08:43:55 +0000 2017',9.43E+17,3804907522,b'DUAL Private Client',b'#MondayMotivaton https://t.co/IBvyDNbXZq'
b'Mon Dec 18 08:43:55 +0000 2017',9.43E+17,532330149,b'Sean Griffin \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\xf0\x9f\x87\xaa\xf0\x9f\x87\xba\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xaa\xf0\x9f\x87\xba\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',b'@BonBon_Jones @LeaveEUOfficial good for you!'
b'Mon Dec 18 08:43:55 +0000 2017',9.43E+17,3094280546,b'Andrea',"b""Sadiq Kahn freeze all fare until 2020, that's why most of buses and tubes train doesn't have heat on during winter\xe2\x80\xa6 https://t.co/usINbRZMHJ"""
b'Mon Dec 18 08:43:57 +0000 2017',9.43E+17,181077231,b'Phil',b'@JustMattWatts Remember us hanging on a bit at the end though.'
b'Mon Dec 18 08:43:57 +0000 2017',9.43E+17,3749274921,b'michael wilson',b'@cric_blog They are bowling 10/15mph slowed than the opposition!!! So a ball that\xe2\x80\x99s not swinging round corners is t\xe2\x80\xa6 https://t.co/IhxqUuSeDb'
b'Mon Dec 18 08:44:01 +0000 2017',9.43E+17,422715163,b'Olligator',"b'@KatieStuartxo Mate if you know, you know \xf0\x9f\x91\x80'"
b'Mon Dec 18 08:44:03 +0000 2017',9.43E+17,2223313067,b'-',b'I want to delete all my shit experiences in life from my memory tbh.'
b'Mon Dec 18 08:44:03 +0000 2017',9.43E+17,434836938,b'Tom Moore',"b'Back in the saddle after a wonderful week off that has been, largely, spent with my good mates.'"
b'Mon Dec 18 08:44:04 +0000 2017',9.43E+17,394847955,b'r   u   a   r   i  \xf0\x9f\x8c\xb9',b'@Flyteband e.  e. cummings my boi'
b'Mon Dec 18 08:44:05 +0000 2017',9.43E+17,1008694194,b'C Simmons-Hall',b'This is how we snuggle in out sleep! \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\nMossll\n#Type1 #diabetes #diabadass #diadumbass\xe2\x80\xa6 https://t.co/UOG1GLSmC2'
b'Mon Dec 18 08:44:03 +0000 2017',9.43E+17,104820606,b'Tony Adams',b'DAVID JASON? https://t.co/RSPdxcaXjH'
b'Mon Dec 18 08:44:06 +0000 2017',9.43E+17,144458505,b'Paddy Briggs\xf0\x9f\x87\xaa\xf0\x9f\x87\xba #FBPE',b'@JackMendel4 @BumbleCricket I like the franchise move for T20. I would  retain County model for red ball but with M\xe2\x80\xa6 https://t.co/5jOONSaM6K'
b'Mon Dec 18 08:44:08 +0000 2017',9.43E+17,9.35E+17,b'Nova Luna',"b'https://t.co/UwGG8UGO2O Relax and enhance your afternoon with a more modern cut from our set, the criminally undera\xe2\x80\xa6 https://t.co/HKjc3e7DAn'"
b'Mon Dec 18 08:44:09 +0000 2017',9.43E+17,707697366,b'Robbie White',b'\xe2\x80\x9cThis is Johnjo is my Destiny\xe2\x80\x9d - do much love for @McPheeMedia &amp; his lovely family \xe2\x9d\xa4\xef\xb8\x8f https://t.co/yO1Hqbsaqn'
b'Mon Dec 18 08:44:16 +0000 2017',9.43E+17,481534851,b'lucind_',b'@imshauniek is so happy all the time atm. It\xe2\x80\x99s actually quiet nice https://t.co/kbDKZ9pwPG'
b'Mon Dec 18 08:44:18 +0000 2017',9.43E+17,24079982,b'Chris Lozeau',"b""@alexwoodcreates Same here. Someone told me I'm the only one she's heard say that \xf0\x9f\xa4\x94\xf0\x9f\xa4\xa3"""
b'Mon Dec 18 08:44:20 +0000 2017',9.43E+17,295890121,b'Don Topley (Toppers)',"b'@lewyitfc @btsportcricket Theres a number of reasons: our cold weather, the tired wickets because we play so much C\xe2\x80\xa6 https://t.co/2QsfpWOuck'"
b'Mon Dec 18 08:44:20 +0000 2017',9.43E+17,873411716,b'muhamed kalema',b'@all in 43m this morning at Tottenham tour this morning enjoyed it like it loved it @Taylor swift only one in the w\xe2\x80\xa6 https://t.co/4YE9ZlXQym'
b'Mon Dec 18 08:44:22 +0000 2017',9.43E+17,872538152,b'Black Panther \xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xe2\x99\x90\xef\xb8\x8f',b'This week is going to be a GREAT WEEK. Turning 23 tomorrow \xf0\x9f\x98\xb0 spending the day with my WCW today and Christmas is in\xe2\x80\xa6 https://t.co/oXHoE0qYkv'
b'Mon Dec 18 08:44:24 +0000 2017',9.43E+17,32538068,b'Laura \xf0\x9f\x90\x90',b'Zero energy is killing me. Going up the stairs is a struggle \xf0\x9f\x98\x9e'
b'Mon Dec 18 08:44:24 +0000 2017',9.43E+17,629482469,b'Aaron Storry',"b""I don't blog very much, it's not because I'm lacking great content - I've taken over 500,000\xe2\x80\xa6 https://t.co/H2NYMh4CbF"""
b'Mon Dec 18 08:44:25 +0000 2017',9.43E+17,294015848,b'Winter soon come',"b'I woke up too early kmt, do I even want to move?'"
b'Mon Dec 18 08:44:30 +0000 2017',9.43E+17,3965004861,b'Maria Montgomery',b'So far she has gotten away with murder. Heroine to monster.\n\nCould Aung San Suu Kyi face Rohingya genocide charges?\xe2\x80\xa6 https://t.co/sBX7IV2eL5'
b'Mon Dec 18 08:44:30 +0000 2017',9.43E+17,262296200,b'Three Peace',"b""@mk1969 He doesn't know the difference between anecdote and data"""
b'Mon Dec 18 08:44:30 +0000 2017',9.43E+17,176233717,b'Mr Beautiful Inside',"b'After a week of deserved rest from everything...(course work, getting up early, working out, and trying to earn a p\xe2\x80\xa6 https://t.co/Jag9FXVdWQ'"
b'Mon Dec 18 08:44:32 +0000 2017',9.43E+17,3361214439,b'Casa Manolo',b'The Joy of #SpanishCuisine: https://t.co/E5MU4KgOIs by @CasaManoloUK via @CincoJotas \n\n\xf0\x9f\x91\x89Learn more about us on\xe2\x80\xa6 https://t.co/urAuEKkb6k'
b'Mon Dec 18 08:44:33 +0000 2017',9.43E+17,281460271,b'The Cross Shop',b'This incredible nathalie_lete for https://t.co/T7qxBhk6Ul wool rug is definitely one of the loveliest\xe2\x80\xa6 https://t.co/7v2ClHOK36'
b'Mon Dec 18 08:44:34 +0000 2017',9.43E+17,351281972,b'Robyn Cunningham',b'\xf0\x9f\x91\x91Nefertiti \xf0\x9f\x91\x91 #burlesque #burlybabe #egyptian #magic #cleopantha #striptease #good #goddess\xe2\x80\xa6 https://t.co/1O9wuhf1KW'
